movieId,title,genres,imdbId,tmdbId,Imdb Link,Poster,IMDB Score
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,http://www.imdb.com/title/tt0114709,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL_.jpg",8.3
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,http://www.imdb.com/title/tt0113497,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR10,0,182,268_AL_.jpg",6.9
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,http://www.imdb.com/title/tt0113228,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,http://www.imdb.com/title/tt0114885,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",5.7
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,http://www.imdb.com/title/tt0113041,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",5.9
6,Heat (1995),Action|Crime|Thriller,113277,949.0,http://www.imdb.com/title/tt0113277,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",8.2
7,Sabrina (1995),Comedy|Romance,114319,11860.0,http://www.imdb.com/title/tt0114319,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3OTQ2NTk2ODNeQTJeQWpwZ15BbWU4MDQ3NTM4MDMx._V1_UX182_CR0,0,182,268_AL_.jpg",6.3
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,http://www.imdb.com/title/tt0112302,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",5.6
9,Sudden Death (1995),Action,114576,9091.0,http://www.imdb.com/title/tt0114576,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR0,0,182,268_AL_.jpg",5.7
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,http://www.imdb.com/title/tt0113189,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2
